misc/nupdates,misc/total_timesteps,fps,eprewmean
14020,5047560,39,0.3375223943591118
14040,5054760,39,0.45093601554632184
14060,5061960,39,0.23380819886922835
14080,5069160,39,0.2770391458272934
14100,5076360,39,0.17145767837762832
14120,5083560,39,0.0435757377743721
14140,5090760,39,-0.18701374977827073
14160,5097960,39,-0.4482821497321129
14180,5105160,39,-0.7626341411471367
14200,5112360,39,-0.7369136241078377
14220,5119560,39,-0.543639920949936
14240,5126760,39,-0.2544162583351135
14260,5133960,39,-0.4165614026784897
14280,5141160,39,-0.5158196419477463
14300,5148360,39,-0.5589786964654923
14320,5155560,39,-0.7327682176232337
14340,5162760,39,-0.8320852309465409
14360,5169960,39,-1.0668106913566588
14380,5177160,39,-0.8487594020366669
14400,5184360,39,-0.8066361731290818
14420,5191560,39,-0.8385113090276718
14440,5198760,39,-0.6605988109111786
14460,5205960,39,-0.5547577416896821
14480,5213160,39,-0.5283037728071213
14500,5220360,39,-0.669394468665123
14520,5227560,39,-0.6754072013497353
14540,5234760,39,-0.7125222590565682
14560,5241960,39,-0.7437674781680107
14580,5249160,39,-0.9637882915139199
14600,5256360,39,-0.9862243077158928
14620,5263560,39,-0.9813938811421394
14640,5270760,39,-1.0956032666563988
14660,5277960,39,-0.9484994348883629
14680,5285160,39,-0.8732394924759865
14700,5292360,39,-0.8523476448655128
14720,5299560,39,-0.8391282269358635
14740,5306760,39,-0.6684771385788918
14760,5313960,39,-0.5800383830070496
14780,5321160,39,-0.25487525820732115
14800,5328360,39,-0.2615685287117958
14820,5335560,39,-0.11468897491693497
14840,5342760,39,0.08034462004899978
14860,5349960,39,0.38001823008060454
14880,5357160,39,0.4162725532054901
14900,5364360,39,0.32336831480264666
14920,5371560,39,0.2935373777151108
14940,5378760,39,0.38548883199691775
14960,5385960,39,0.431920211315155
14980,5393160,39,0.13289185971021653
15000,5400360,39,-0.05364478558301926
15020,5407560,39,0.22938160210847855
15040,5414760,39,0.3644924503564835
15060,5421960,39,0.25054973751306536
15080,5429160,39,0.3781022897362709
15100,5436360,39,0.6128738015890122
15120,5443560,39,0.8657068884372712
